shipping_id,order_id,carrier,shipping_method,warehouse_location,ship_date,delivery_date,shipping_cost,delivery_status
8002290,70017290,DHL,Standard,Chicago-IL,2025-05-23,2025-06-01,12.99,Delivered
8002291,70017291,Canada Post,Standard,Edmonton-AB,2025-05-27,2025-06-03,9.99,Delivered
8002292,70017292,UPS,Expedited,Calgary-AB,2025-05-28,2025-05-31,14.99,Delivered
8002293,70017293,FedEx,Standard,Vancouver-BC,2025-05-25,2025-06-02,11.99,Delivered
8002294,70017294,Purolator,Express,Toronto-ON,2025-05-29,2025-05-31,19.99,Delivered
8002295,70017295,DHL,Standard,Chicago-IL,2025-05-26,2025-06-04,12.99,Delivered
8002296,70017296,Canada Post,Standard,Edmonton-AB,2025-05-30,2025-06-06,9.99,Delivered
8002297,70017297,UPS,Expedited,Calgary-AB,2025-05-31,2025-06-03,14.99,Delivered
8002298,70017298,FedEx,Standard,Vancouver-BC,2025-05-28,2025-06-05,11.99,Delivered
8002299,70017299,Purolator,Express,Toronto-ON,2025-06-01,2025-06-03,19.99,Delivered
8002300,70017300,DHL,Standard,Chicago-IL,2025-05-29,2025-06-07,12.99,Delivered
8002301,70017301,Canada Post,Standard,Edmonton-AB,2025-06-01,2025-06-08,9.99,Delivered
8002302,70017302,UPS,Expedited,Calgary-AB,2025-06-02,2025-06-05,14.99,Delivered
8002303,70017303,FedEx,Standard,Vancouver-BC,2025-05-30,2025-06-07,11.99,Delivered
8002304,70017304,Purolator,Express,Toronto-ON,2025-06-03,2025-06-05,19.99,Delivered
8002305,70017305,DHL,Standard,Chicago-IL,2025-05-31,2025-06-09,12.99,Delivered
8002306,70017306,Canada Post,Standard,Edmonton-AB,2025-06-04,2025-06-11,9.99,Delivered
8002307,70017307,UPS,Expedited,Calgary-AB,2025-06-05,2025-06-08,14.99,Delivered
8002308,70017308,FedEx,Standard,Vancouver-BC,2025-06-02,2025-06-10,11.99,Delivered
8002309,70017309,Purolator,Express,Toronto-ON,2025-06-06,2025-06-08,19.99,Delivered
8002310,70017310,DHL,Standard,Chicago-IL,2025-06-03,2025-06-12,12.99,Delivered
8002311,70017311,Canada Post,Standard,Edmonton-AB,2025-06-07,2025-06-14,9.99,Delivered
8002312,70017312,UPS,Expedited,Calgary-AB,2025-06-08,2025-06-11,14.99,Delivered
8002313,70017313,FedEx,Standard,Vancouver-BC,2025-06-05,2025-06-13,11.99,Delivered
8002314,70017314,Purolator,Express,Toronto-ON,2025-06-09,2025-06-11,19.99,Delivered
8002315,70017315,DHL,Standard,Chicago-IL,2025-06-06,2025-06-15,12.99,Delivered
8002316,70017316,Canada Post,Standard,Edmonton-AB,2025-06-10,2025-06-17,9.99,Delivered
8002317,70017317,UPS,Expedited,Calgary-AB,2025-06-11,2025-06-14,14.99,Delivered
8002318,70017318,FedEx,Standard,Vancouver-BC,2025-06-08,2025-06-16,11.99,Delivered
8002319,70017319,Purolator,Express,Toronto-ON,2025-06-12,2025-06-14,19.99,Delivered
8002320,70017320,DHL,Standard,Chicago-IL,2025-06-09,2025-06-18,12.99,Delivered
8002321,70017321,Canada Post,Standard,Edmonton-AB,2025-06-13,2025-06-20,9.99,Delivered
8002322,70017322,UPS,Expedited,Calgary-AB,2025-06-14,2025-06-17,14.99,Delivered
8002323,70017323,FedEx,Standard,Vancouver-BC,2025-06-11,2025-06-19,11.99,Delivered
8002324,70017324,Purolator,Express,Toronto-ON,2025-06-15,2025-06-17,19.99,Delivered
8002325,70017325,DHL,Standard,Chicago-IL,2025-06-12,2025-06-21,12.99,Delivered
8002326,70017326,Canada Post,Standard,Edmonton-AB,2025-06-16,2025-06-23,9.99,Delivered
8002327,70017327,UPS,Expedited,Calgary-AB,2025-06-17,2025-06-20,14.99,Delivered
8002328,70017328,FedEx,Standard,Vancouver-BC,2025-06-14,2025-06-22,11.99,Delivered
8002329,70017329,Purolator,Express,Toronto-ON,2025-06-18,2025-06-20,19.99,Delivered
8002330,70017330,DHL,Standard,Chicago-IL,2025-06-15,2025-06-24,12.99,Delivered
8002331,70017331,Canada Post,Standard,Edmonton-AB,2025-06-19,2025-06-26,9.99,Delivered
8002332,70017332,UPS,Expedited,Calgary-AB,2025-06-20,2025-06-23,14.99,Delivered
8002333,70017333,FedEx,Standard,Vancouver-BC,2025-06-17,2025-06-25,11.99,Delivered
8002334,70017334,Purolator,Express,Toronto-ON,2025-06-21,2025-06-23,19.99,Delivered
8002335,70017335,DHL,Standard,Chicago-IL,2025-06-18,2025-06-27,12.99,Delivered
8002336,70017336,Canada Post,Standard,Edmonton-AB,2025-06-22,2025-06-29,9.99,Delivered
8002337,70017337,UPS,Expedited,Calgary-AB,2025-06-23,2025-06-26,14.99,Delivered
8002338,70017338,FedEx,Standard,Vancouver-BC,2025-06-20,2025-06-28,11.99,Delivered
8002339,70017339,Purolator,Express,Toronto-ON,2025-06-24,2025-06-26,19.99,Delivered
8002340,70017340,DHL,Standard,Chicago-IL,2025-06-21,2025-06-30,12.99,Delivered
8002341,70017341,Canada Post,Standard,Edmonton-AB,2025-06-25,2025-07-02,9.99,Delivered
8002342,70017342,UPS,Expedited,Calgary-AB,2025-06-26,2025-06-29,14.99,Delivered
8002343,70017343,FedEx,Standard,Vancouver-BC,2025-06-23,2025-07-01,11.99,Delivered
8002344,70017344,Purolator,Express,Toronto-ON,2025-06-27,2025-06-29,19.99,Delivered
8002345,70017345,DHL,Standard,Chicago-IL,2025-06-24,2025-07-03,12.99,Delivered
8002346,70017346,Canada Post,Standard,Edmonton-AB,2025-06-28,2025-07-05,9.99,Delivered
8002347,70017347,UPS,Expedited,Calgary-AB,2025-06-29,2025-07-02,14.99,Delivered
8002348,70017348,FedEx,Standard,Vancouver-BC,2025-06-26,2025-07-04,11.99,Delivered
8002349,70017349,Purolator,Express,Toronto-ON,2025-06-30,2025-07-02,19.99,Delivered
8002350,70017350,DHL,Standard,Chicago-IL,2025-06-27,2025-07-06,12.99,Delivered
8002351,70017351,Canada Post,Standard,Edmonton-AB,2025-06-29,2025-07-06,9.99,Delivered
8002352,70017352,UPS,Expedited,Calgary-AB,2025-06-30,2025-07-03,14.99,Delivered
8002353,70017353,FedEx,Standard,Vancouver-BC,2025-06-27,2025-07-05,11.99,Delivered
8002354,70017354,Purolator,Express,Toronto-ON,2025-07-01,2025-07-03,19.99,Delivered
8002355,70017355,DHL,Standard,Chicago-IL,2025-06-28,2025-07-07,12.99,Delivered
8002356,70017356,Canada Post,Standard,Edmonton-AB,2025-07-02,2025-07-09,9.99,Delivered
8002357,70017357,UPS,Expedited,Calgary-AB,2025-07-03,2025-07-06,14.99,Delivered
8002358,70017358,FedEx,Standard,Vancouver-BC,2025-06-30,2025-07-08,11.99,Delivered
8002359,70017359,Purolator,Express,Toronto-ON,2025-07-04,2025-07-06,19.99,Delivered
8002360,70017360,DHL,Standard,Chicago-IL,2025-07-01,2025-07-10,12.99,Delivered
8002361,70017361,Canada Post,Standard,Edmonton-AB,2025-07-05,2025-07-12,9.99,Delivered
8002362,70017362,UPS,Expedited,Calgary-AB,2025-07-06,2025-07-09,14.99,Delivered
8002363,70017363,FedEx,Standard,Vancouver-BC,2025-07-03,2025-07-11,11.99,Delivered
8002364,70017364,Purolator,Express,Toronto-ON,2025-07-07,2025-07-09,19.99,Delivered
8002365,70017365,DHL,Standard,Chicago-IL,2025-07-04,2025-07-13,12.99,Delivered
8002366,70017366,Canada Post,Standard,Edmonton-AB,2025-07-08,2025-07-15,9.99,Delivered
8002367,70017367,UPS,Expedited,Calgary-AB,2025-07-09,2025-07-12,14.99,Delivered
8002368,70017368,FedEx,Standard,Vancouver-BC,2025-07-06,2025-07-14,11.99,Delivered
8002369,70017369,Purolator,Express,Toronto-ON,2025-07-10,2025-07-12,19.99,Delivered
8002370,70017370,DHL,Standard,Chicago-IL,2025-07-07,2025-07-16,12.99,Delivered
8002371,70017371,Canada Post,Standard,Edmonton-AB,2025-07-11,2025-07-18,9.99,Delivered
8002372,70017372,UPS,Expedited,Calgary-AB,2025-07-12,2025-07-15,14.99,Delivered
8002373,70017373,FedEx,Standard,Vancouver-BC,2025-07-09,2025-07-17,11.99,Delivered
8002374,70017374,Purolator,Express,Toronto-ON,2025-07-13,2025-07-15,19.99,Delivered
8002375,70017375,DHL,Standard,Chicago-IL,2025-07-10,2025-07-19,12.99,Delivered
8002376,70017376,Canada Post,Standard,Edmonton-AB,2025-07-14,2025-07-21,9.99,Delivered
8002377,70017377,UPS,Expedited,Calgary-AB,2025-07-15,2025-07-18,14.99,Delivered
8002378,70017378,FedEx,Standard,Vancouver-BC,2025-07-12,2025-07-20,11.99,Delivered
8002379,70017379,Purolator,Express,Toronto-ON,2025-07-16,2025-07-18,19.99,Delivered
8002380,70017380,DHL,Standard,Chicago-IL,2025-07-13,2025-07-22,12.99,Delivered
8002381,70017381,Canada Post,Standard,Edmonton-AB,2025-07-17,2025-07-24,9.99,Delivered
8002382,70017382,UPS,Expedited,Calgary-AB,2025-07-18,2025-07-21,14.99,Delivered
8002383,70017383,FedEx,Standard,Vancouver-BC,2025-07-15,2025-07-23,11.99,Delivered
8002384,70017384,Purolator,Express,Toronto-ON,2025-07-19,2025-07-21,19.99,Delivered
8002385,70017385,DHL,Standard,Chicago-IL,2025-07-16,2025-07-25,12.99,Delivered
8002386,70017386,Canada Post,Standard,Edmonton-AB,2025-07-20,2025-07-27,9.99,Delivered
8002387,70017387,UPS,Expedited,Calgary-AB,2025-07-21,2025-07-24,14.99,Delivered
8002388,70017388,FedEx,Standard,Vancouver-BC,2025-07-18,2025-07-26,11.99,Delivered
8002389,70017389,Purolator,Express,Toronto-ON,2025-07-22,2025-07-24,19.99,Delivered
8002390,70017390,DHL,Standard,Chicago-IL,2025-07-19,2025-07-28,12.99,Delivered
8002391,70017391,Canada Post,Standard,Edmonton-AB,2025-07-23,2025-07-30,9.99,Delivered
8002392,70017392,UPS,Expedited,Calgary-AB,2025-07-24,2025-07-27,14.99,Delivered
8002393,70017393,FedEx,Standard,Vancouver-BC,2025-07-21,2025-07-29,11.99,Delivered
8002394,70017394,Purolator,Express,Toronto-ON,2025-07-25,2025-07-27,19.99,Delivered
8002395,70017395,DHL,Standard,Chicago-IL,2025-07-22,2025-07-31,12.99,Delivered
8002396,70017396,Canada Post,Standard,Edmonton-AB,2025-07-26,2025-08-02,9.99,Delivered
8002397,70017397,UPS,Expedited,Calgary-AB,2025-07-27,2025-07-30,14.99,Delivered
8002398,70017398,FedEx,Standard,Vancouver-BC,2025-07-24,2025-08-01,11.99,Delivered
8002399,70017399,Purolator,Express,Toronto-ON,2025-07-28,2025-07-30,19.99,Delivered
8002400,70017400,DHL,Standard,Chicago-IL,2025-07-25,2025-08-03,12.99,Delivered
8002401,70017401,Canada Post,Standard,Edmonton-AB,2025-07-29,2025-08-05,9.99,Delivered
8002402,70017402,UPS,Expedited,Calgary-AB,2025-07-30,2025-08-02,14.99,Delivered
8002403,70017403,FedEx,Standard,Vancouver-BC,2025-07-27,2025-08-04,11.99,Delivered
8002404,70017404,Purolator,Express,Toronto-ON,2025-07-31,2025-08-02,19.99,Delivered
8002405,70017405,DHL,Standard,Chicago-IL,2025-07-28,2025-08-06,12.99,Delivered
8002406,70017406,Canada Post,Standard,Edmonton-AB,2025-08-01,2025-08-08,9.99,Delivered
8002407,70017407,UPS,Expedited,Calgary-AB,2025-08-02,2025-08-05,14.99,Delivered
8002408,70017408,FedEx,Standard,Vancouver-BC,2025-07-30,2025-08-07,11.99,Delivered
8002409,70017409,Purolator,Express,Toronto-ON,2025-08-03,2025-08-05,19.99,Delivered
8002410,70017410,DHL,Standard,Chicago-IL,2025-07-31,2025-08-09,12.99,Delivered
8002411,70017411,Canada Post,Standard,Edmonton-AB,2025-08-04,2025-08-11,9.99,Delivered
8002412,70017412,UPS,Expedited,Calgary-AB,2025-08-05,2025-08-08,14.99,Delivered
8002413,70017413,FedEx,Standard,Vancouver-BC,2025-08-02,2025-08-10,11.99,Delivered
8002414,70017414,Purolator,Express,Toronto-ON,2025-08-06,2025-08-08,19.99,Delivered
8002415,70017415,DHL,Standard,Chicago-IL,2025-08-03,2025-08-12,12.99,Delivered
8002416,70017416,Canada Post,Standard,Edmonton-AB,2025-08-07,2025-08-14,9.99,Delivered
8002417,70017417,UPS,Expedited,Calgary-AB,2025-08-08,2025-08-11,14.99,Delivered
8002418,70017418,FedEx,Standard,Vancouver-BC,2025-08-05,2025-08-13,11.99,Delivered
8002419,70017419,Purolator,Express,Toronto-ON,2025-08-09,2025-08-11,19.99,Delivered
8002420,70017420,DHL,Standard,Chicago-IL,2025-08-06,2025-08-15,12.99,Delivered
8002421,70017421,Canada Post,Standard,Edmonton-AB,2025-08-10,2025-08-17,9.99,Delivered
8002422,70017422,UPS,Expedited,Calgary-AB,2025-08-11,2025-08-14,14.99,Delivered
8002423,70017423,FedEx,Standard,Vancouver-BC,2025-08-08,2025-08-16,11.99,Delivered
8002424,70017424,Purolator,Express,Toronto-ON,2025-08-12,2025-08-14,19.99,Delivered
8002425,70017425,DHL,Standard,Chicago-IL,2025-08-09,2025-08-18,12.99,Delivered
8002426,70017426,Canada Post,Standard,Edmonton-AB,2025-08-13,2025-08-20,9.99,Delivered
8002427,70017427,UPS,Expedited,Calgary-AB,2025-08-14,2025-08-17,14.99,Delivered
8002428,70017428,FedEx,Standard,Vancouver-BC,2025-08-11,2025-08-19,11.99,Delivered
8002429,70017429,Purolator,Express,Toronto-ON,2025-08-15,2025-08-17,19.99,Delivered
8002430,70017430,DHL,Standard,Chicago-IL,2025-08-12,2025-08-21,12.99,Delivered
8002431,70017431,Canada Post,Standard,Edmonton-AB,2025-08-16,2025-08-23,9.99,Delivered
8002432,70017432,UPS,Expedited,Calgary-AB,2025-08-17,2025-08-20,14.99,Delivered
8002433,70017433,FedEx,Standard,Vancouver-BC,2025-08-14,2025-08-22,11.99,Delivered
8002434,70017434,Purolator,Express,Toronto-ON,2025-08-18,2025-08-20,19.99,Delivered
8002435,70017435,DHL,Standard,Chicago-IL,2025-08-15,2025-08-24,12.99,Delivered
8002436,70017436,Canada Post,Standard,Edmonton-AB,2025-08-19,2025-08-26,9.99,Delivered
8002437,70017437,UPS,Expedited,Calgary-AB,2025-08-20,2025-08-23,14.99,Delivered
8002438,70017438,FedEx,Standard,Vancouver-BC,2025-08-17,2025-08-25,11.99,Delivered
8002439,70017439,Purolator,Express,Toronto-ON,2025-08-21,2025-08-23,19.99,Delivered
8002440,70017440,DHL,Standard,Chicago-IL,2025-08-18,2025-08-27,12.99,Delivered
8002441,70017441,Canada Post,Standard,Edmonton-AB,2025-08-22,2025-08-29,9.99,Delivered
8002442,70017442,UPS,Expedited,Calgary-AB,2025-08-23,2025-08-26,14.99,Delivered
8002443,70017443,FedEx,Standard,Vancouver-BC,2025-08-20,2025-08-28,11.99,Delivered
8002444,70017444,Purolator,Express,Toronto-ON,2025-08-24,2025-08-26,19.99,Delivered
8002445,70017445,DHL,Standard,Chicago-IL,2025-08-21,2025-08-30,12.99,Delivered
8002446,70017446,Canada Post,Standard,Edmonton-AB,2025-08-25,2025-09-01,9.99,Delivered
8002447,70017447,UPS,Expedited,Calgary-AB,2025-08-26,2025-08-29,14.99,Delivered
8002448,70017448,FedEx,Standard,Vancouver-BC,2025-08-23,2025-08-31,11.99,Delivered
8002449,70017449,Purolator,Express,Toronto-ON,2025-08-27,2025-08-29,19.99,Delivered
8002450,70017450,DHL,Standard,Chicago-IL,2025-08-24,2025-09-02,12.99,Delivered
8002451,70017451,Canada Post,Standard,Edmonton-AB,2025-08-28,2025-09-04,9.99,Delivered
8002452,70017452,UPS,Expedited,Calgary-AB,2025-08-29,2025-09-01,14.99,Delivered
8002453,70017453,FedEx,Standard,Vancouver-BC,2025-08-26,2025-09-03,11.99,Delivered
8002454,70017454,Purolator,Express,Toronto-ON,2025-08-30,2025-09-01,19.99,Delivered
8002455,70017455,DHL,Standard,Chicago-IL,2025-08-27,2025-09-05,12.99,Delivered
8002456,70017456,Canada Post,Standard,Edmonton-AB,2025-08-31,2025-09-07,9.99,Delivered
8002457,70017457,UPS,Expedited,Calgary-AB,2025-09-01,2025-09-04,14.99,Delivered
8002458,70017458,FedEx,Standard,Vancouver-BC,2025-08-29,2025-09-06,11.99,Delivered
8002459,70017459,Purolator,Express,Toronto-ON,2025-09-02,2025-09-04,19.99,Delivered
8002460,70017460,DHL,Standard,Chicago-IL,2025-08-30,2025-09-08,12.99,Delivered
8002461,70017461,Canada Post,Standard,Edmonton-AB,2025-09-03,2025-09-10,9.99,Delivered
8002462,70017462,UPS,Expedited,Calgary-AB,2025-09-04,2025-09-07,14.99,Delivered
8002463,70017463,FedEx,Standard,Vancouver-BC,2025-09-01,2025-09-09,11.99,Delivered
8002464,70017464,Purolator,Express,Toronto-ON,2025-09-05,2025-09-07,19.99,Delivered
8002465,70017465,DHL,Standard,Chicago-IL,2025-09-02,2025-09-11,12.99,Delivered
8002466,70017466,Canada Post,Standard,Edmonton-AB,2025-09-06,2025-09-13,9.99,Delivered
8002467,70017467,UPS,Expedited,Calgary-AB,2025-09-07,2025-09-10,14.99,Delivered
8002468,70017468,FedEx,Standard,Vancouver-BC,2025-09-04,2025-09-12,11.99,Delivered
8002469,70017469,Purolator,Express,Toronto-ON,2025-09-08,2025-09-10,19.99,Delivered
8002470,70017470,DHL,Standard,Chicago-IL,2025-09-05,2025-09-14,12.99,Delivered
8002471,70017471,Canada Post,Standard,Edmonton-AB,2025-09-09,2025-09-16,9.99,Delivered
8002472,70017472,UPS,Expedited,Calgary-AB,2025-09-10,2025-09-13,14.99,Delivered
8002473,70017473,FedEx,Standard,Vancouver-BC,2025-09-07,2025-09-15,11.99,Delivered
8002474,70017474,Purolator,Express,Toronto-ON,2025-09-11,2025-09-13,19.99,Delivered
8002475,70017475,DHL,Standard,Chicago-IL,2025-09-08,2025-09-17,12.99,Delivered
8002476,70017476,Canada Post,Standard,Edmonton-AB,2025-09-12,2025-09-19,9.99,Delivered
8002477,70017477,UPS,Expedited,Calgary-AB,2025-09-13,2025-09-16,14.99,Delivered
8002478,70017478,FedEx,Standard,Vancouver-BC,2025-09-10,2025-09-18,11.99,Delivered
8002479,70017479,Purolator,Express,Toronto-ON,2025-09-14,2025-09-16,19.99,Delivered
8002480,70017480,DHL,Standard,Chicago-IL,2025-09-11,2025-09-20,12.99,Delivered
8002481,70017481,Canada Post,Standard,Edmonton-AB,2025-09-15,2025-09-22,9.99,Delivered
8002482,70017482,UPS,Expedited,Calgary-AB,2025-09-16,2025-09-19,14.99,Delivered
8002483,70017483,FedEx,Standard,Vancouver-BC,2025-09-13,2025-09-21,11.99,Delivered
8002484,70017484,Purolator,Express,Toronto-ON,2025-09-17,2025-09-19,19.99,Delivered
8002485,70017485,DHL,Standard,Chicago-IL,2025-09-14,2025-09-23,12.99,Delivered
8002486,70017486,Canada Post,Standard,Edmonton-AB,2025-09-18,2025-09-25,9.99,Delivered
8002487,70017487,UPS,Expedited,Calgary-AB,2025-09-19,2025-09-22,14.99,Delivered
8002488,70017488,FedEx,Standard,Vancouver-BC,2025-09-16,2025-09-24,11.99,Delivered
8002489,70017489,Purolator,Express,Toronto-ON,2025-09-20,2025-09-22,19.99,Delivered
8002490,70017490,DHL,Standard,Chicago-IL,2025-09-17,2025-09-26,12.99,Delivered
8002491,70017491,Canada Post,Standard,Edmonton-AB,2025-09-21,2025-09-28,9.99,Delivered
8002492,70017492,UPS,Expedited,Calgary-AB,2025-09-22,2025-09-25,14.99,Delivered
8002493,70017493,FedEx,Standard,Vancouver-BC,2025-09-19,2025-09-27,11.99,Delivered
8002494,70017494,Purolator,Express,Toronto-ON,2025-09-23,2025-09-25,19.99,Delivered
8002495,70017495,DHL,Standard,Chicago-IL,2025-09-20,2025-09-29,12.99,Delivered
8002496,70017496,Canada Post,Standard,Edmonton-AB,2025-09-24,2025-10-01,9.99,Delivered
8002497,70017497,UPS,Expedited,Calgary-AB,2025-09-25,2025-09-28,14.99,Delivered
8002498,70017498,FedEx,Standard,Vancouver-BC,2025-09-22,2025-09-30,11.99,Delivered
8002499,70017499,Purolator,Express,Toronto-ON,2025-09-26,2025-09-28,19.99,Delivered
8002500,70017500,DHL,Standard,Chicago-IL,2025-09-23,2025-10-02,12.99,Delivered
8002501,70017501,Canada Post,Standard,Edmonton-AB,2025-09-24,2025-10-01,9.99,Delivered
8002502,70017502,UPS,Expedited,Calgary-AB,2025-09-25,2025-09-28,14.99,Delivered
8002503,70017503,FedEx,Standard,Vancouver-BC,2025-09-22,2025-09-30,11.99,Delivered
8002504,70017504,Purolator,Express,Toronto-ON,2025-09-26,2025-09-28,19.99,Delivered
8002505,70017505,DHL,Standard,Chicago-IL,2025-09-23,2025-10-02,12.99,Delivered
8002506,70017506,Canada Post,Standard,Edmonton-AB,2025-09-27,2025-10-04,9.99,Delivered
8002507,70017507,UPS,Expedited,Calgary-AB,2025-09-28,2025-10-01,14.99,Delivered
8002508,70017508,FedEx,Standard,Vancouver-BC,2025-09-25,2025-10-03,11.99,Delivered
8002509,70017509,Purolator,Express,Toronto-ON,2025-09-29,2025-10-01,19.99,Delivered
8002510,70017510,DHL,Standard,Chicago-IL,2025-09-26,2025-10-05,12.99,Delivered
8002511,70017511,Canada Post,Standard,Edmonton-AB,2025-09-30,2025-10-07,9.99,Delivered
8002512,70017512,UPS,Expedited,Calgary-AB,2025-10-01,2025-10-04,14.99,Delivered
8002513,70017513,FedEx,Standard,Vancouver-BC,2025-09-28,2025-10-06,11.99,Delivered
8002514,70017514,Purolator,Express,Toronto-ON,2025-10-02,2025-10-04,19.99,Delivered
8002515,70017515,DHL,Standard,Chicago-IL,2025-09-29,2025-10-08,12.99,Delivered
8002516,70017516,Canada Post,Standard,Edmonton-AB,2025-10-03,2025-10-10,9.99,Delivered
8002517,70017517,UPS,Expedited,Calgary-AB,2025-10-04,2025-10-07,14.99,Delivered
8002518,70017518,FedEx,Standard,Vancouver-BC,2025-10-01,2025-10-09,11.99,Delivered
8002519,70017519,Purolator,Express,Toronto-ON,2025-10-05,2025-10-07,19.99,Delivered
8002520,70017520,DHL,Standard,Chicago-IL,2025-10-02,2025-10-11,12.99,Delivered
8002521,70017521,Canada Post,Standard,Edmonton-AB,2025-10-06,2025-10-13,9.99,Delivered
8002522,70017522,UPS,Expedited,Calgary-AB,2025-10-07,2025-10-10,14.99,Delivered
8002523,70017523,FedEx,Standard,Vancouver-BC,2025-10-04,2025-10-12,11.99,Delivered
8002524,70017524,Purolator,Express,Toronto-ON,2025-10-08,2025-10-10,19.99,Delivered
8002525,70017525,DHL,Standard,Chicago-IL,2025-10-05,2025-10-14,12.99,Delivered
8002526,70017526,Canada Post,Standard,Edmonton-AB,2025-10-09,2025-10-16,9.99,Delivered
8002527,70017527,UPS,Expedited,Calgary-AB,2025-10-10,2025-10-13,14.99,Delivered
8002528,70017528,FedEx,Standard,Vancouver-BC,2025-10-07,2025-10-15,11.99,Delivered
8002529,70017529,Purolator,Express,Toronto-ON,2025-10-11,2025-10-13,19.99,Delivered
8002530,70017530,DHL,Standard,Chicago-IL,2025-10-08,2025-10-17,12.99,Delivered
8002531,70017531,Canada Post,Standard,Edmonton-AB,2025-10-12,2025-10-19,9.99,Delivered
8002532,70017532,UPS,Expedited,Calgary-AB,2025-10-13,2025-10-16,14.99,Delivered
8002533,70017533,FedEx,Standard,Vancouver-BC,2025-10-10,2025-10-18,11.99,Delivered
8002534,70017534,Purolator,Express,Toronto-ON,2025-10-14,2025-10-16,19.99,Delivered
8002535,70017535,DHL,Standard,Chicago-IL,2025-10-11,2025-10-20,12.99,Delivered
8002536,70017536,Canada Post,Standard,Edmonton-AB,2025-10-15,2025-10-22,9.99,Delivered
8002537,70017537,UPS,Expedited,Calgary-AB,2025-10-16,2025-10-19,14.99,Delivered
8002538,70017538,FedEx,Standard,Vancouver-BC,2025-10-13,2025-10-21,11.99,Delivered
8002539,70017539,Purolator,Express,Toronto-ON,2025-10-17,2025-10-19,19.99,Delivered
8002540,70017540,DHL,Standard,Chicago-IL,2025-10-14,2025-10-23,12.99,Delivered
8002541,70017541,Canada Post,Standard,Edmonton-AB,2025-10-18,2025-10-25,9.99,Delivered
8002542,70017542,UPS,Expedited,Calgary-AB,2025-10-19,2025-10-22,14.99,Delivered
8002543,70017543,FedEx,Standard,Vancouver-BC,2025-10-16,2025-10-24,11.99,Delivered
8002544,70017544,Purolator,Express,Toronto-ON,2025-10-20,2025-10-22,19.99,Delivered
8002545,70017545,DHL,Standard,Chicago-IL,2025-10-17,2025-10-26,12.99,Delivered
8002546,70017546,Canada Post,Standard,Edmonton-AB,2025-10-21,2025-10-28,9.99,Delivered
8002547,70017547,UPS,Expedited,Calgary-AB,2025-10-22,2025-10-25,14.99,Delivered
8002548,70017548,FedEx,Standard,Vancouver-BC,2025-10-19,2025-10-27,11.99,Delivered
8002549,70017549,Purolator,Express,Toronto-ON,2025-10-23,2025-10-25,19.99,Delivered
8002550,70017550,DHL,Standard,Chicago-IL,2025-10-20,2025-10-29,12.99,Delivered
8002551,70017551,Canada Post,Standard,Edmonton-AB,2025-10-22,2025-10-29,9.99,Delivered
8002552,70017552,UPS,Expedited,Calgary-AB,2025-10-23,2025-10-26,14.99,Delivered
8002553,70017553,FedEx,Standard,Vancouver-BC,2025-10-20,2025-10-28,11.99,Delivered
8002554,70017554,Purolator,Express,Toronto-ON,2025-10-24,2025-10-26,19.99,Delivered
8002555,70017555,DHL,Standard,Chicago-IL,2025-10-21,2025-10-30,12.99,Delivered
8002556,70017556,Canada Post,Standard,Edmonton-AB,2025-10-25,2025-11-01,9.99,Delivered
8002557,70017557,UPS,Expedited,Calgary-AB,2025-10-26,2025-10-29,14.99,Delivered
8002558,70017558,FedEx,Standard,Vancouver-BC,2025-10-23,2025-10-31,11.99,Delivered
8002559,70017559,Purolator,Express,Toronto-ON,2025-10-27,2025-10-29,19.99,Delivered
8002560,70017560,DHL,Standard,Chicago-IL,2025-10-24,2025-11-02,12.99,Delivered
8002561,70017561,Canada Post,Standard,Edmonton-AB,2025-10-28,2025-11-04,9.99,Delivered
8002562,70017562,UPS,Expedited,Calgary-AB,2025-10-29,2025-11-01,14.99,Delivered
8002563,70017563,FedEx,Standard,Vancouver-BC,2025-10-26,2025-11-03,11.99,Delivered
8002564,70017564,Purolator,Express,Toronto-ON,2025-10-30,2025-11-01,19.99,Delivered
8002565,70017565,DHL,Standard,Chicago-IL,2025-10-27,2025-11-05,12.99,Delivered
8002566,70017566,Canada Post,Standard,Edmonton-AB,2025-10-31,2025-11-07,9.99,Delivered
8002567,70017567,UPS,Expedited,Calgary-AB,2025-11-01,2025-11-04,14.99,Delivered
8002568,70017568,FedEx,Standard,Vancouver-BC,2025-10-29,2025-11-06,11.99,Delivered
8002569,70017569,Purolator,Express,Toronto-ON,2025-11-02,2025-11-04,19.99,Delivered
8002570,70017570,DHL,Standard,Chicago-IL,2025-10-30,2025-11-08,12.99,Delivered
8002571,70017571,Canada Post,Standard,Edmonton-AB,2025-11-03,2025-11-10,9.99,Delivered
8002572,70017572,UPS,Expedited,Calgary-AB,2025-11-04,2025-11-07,14.99,Delivered
8002573,70017573,FedEx,Standard,Vancouver-BC,2025-11-01,2025-11-09,11.99,Delivered
8002574,70017574,Purolator,Express,Toronto-ON,2025-11-05,2025-11-07,19.99,Delivered
8002575,70017575,DHL,Standard,Chicago-IL,2025-11-02,2025-11-11,12.99,Delivered
8002576,70017576,Canada Post,Standard,Edmonton-AB,2025-11-06,2025-11-13,9.99,Delivered
8002577,70017577,UPS,Expedited,Calgary-AB,2025-11-07,2025-11-10,14.99,Delivered
8002578,70017578,FedEx,Standard,Vancouver-BC,2025-11-04,2025-11-12,11.99,Delivered
